sample,raw,qc,denoising,read-merging,clustering,taxa-filter,rare-otus-filter,subsampling,lulu
Soil_RNA_dried_soil_rainfed_rep4_R1_R1,0,0,43574 (589 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep4_R1_R1,0,0,44325 (896 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep2_R1_R1,0,0,43879 (610 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep2_R1_R1,0,0,41321 (705 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep4_R1_R1,0,0,43893 (1320 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep4_R1_R1,0,0,43696 (1382 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_irrigated_rep4_R1_R1,0,0,42584 (1236 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep1_R1_R1,0,0,43428 (690 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep1_R1_R1,0,0,41196 (729 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep3_R1_R1,0,0,43483 (644 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep2_R1_R1,0,0,43730 (812 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep1_R1_R1,0,0,44067 (619 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep3_R1_R1,0,0,44079 (953 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_irrigated_rep2_R1_R1,0,0,40125 (595 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_rainfed_rep3_R1_R1,0,0,43118 (1250 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep2_R1_R1,0,0,43980 (962 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep2_R1_R1,0,0,43627 (639 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep4_R1_R1,0,0,44208 (969 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep4_R1_R1,0,0,44384 (617 uniques),0,0,0,0,0,0
