Run,isolation_source
SRR5192369,DNA-dreid-irrigated-rep1
SRR5192371,DNA-dreid-irrigated-rep2
SRR5192373,DNA-dreid-irrigated-rep3
SRR5192377,DNA-dreid-irrigated-rep4
SRR5192266,DNA-fresh-irrigated-rep1
SRR5192264,DNA-fresh-irrigated-rep2
SRR5192275,DNA-fresh-irrigated-rep3
SRR5192360,DNA-fresh-irrigated-rep4
SRR5187785,DNA-incubated-irrigated-rep1
SRR5192365,DNA-incubated-irrigated-rep2
SRR5192367,DNA-incubated-irrigated-rep3
SRR5192368,DNA-incubated-irrigated-rep4
SRR5192379,DNA-reincubated-irrigated-rep1
SRR5192382,DNA-reincubated-irrigated-rep2
SRR5192385,DNA-reincubated-irrigated-rep3
SRR5192387,DNA-reincubated-irrigated-rep4
SRR5192417,RNA-dreid-irrigated-rep1
SRR5192423,RNA-dreid-irrigated-rep2
SRR5192425,RNA-dreid-irrigated-rep3
SRR5192426,RNA-dreid-irrigated-rep4
SRR5192394,RNA-fresh-irrigated-rep1
SRR5192397,RNA-fresh-irrigated-rep2
SRR5192401,RNA-fresh-irrigated-rep3
SRR5192402,RNA-fresh-irrigated-rep4
SRR5192405,RNA-incubated-irrigated-rep1
SRR5192407,RNA-incubated-irrigated-rep2
SRR5192409,RNA-incubated-irrigated-rep3
SRR5192411,RNA-incubated-irrigated-rep4
SRR5192429,RNA-reincubated-irrigated-rep1
SRR5192431,RNA-reincubated-irrigated-rep2
SRR5192434,RNA-reincubated-irrigated-rep3
SRR5192436,RNA-reincubated-irrigated-rep4
