Run,isolation_source
SRR5192459,Soil DNA-dried soil-rainfed-rep1
SRR5192460,Soil DNA-dried soil-rainfed-rep2
SRR5192461,Soil DNA-dried soil-rainfed-rep3
SRR5192462,Soil DNA-dried soil-rainfed-rep4
SRR5192445,Soil DNA-fresh soil-rainfed-rep1
SRR5192449,Soil DNA-fresh soil-rainfed-rep2
SRR5192450,Soil DNA-fresh soil-rainfed-rep3
SRR5192451,Soil DNA-fresh soil-rainfed-rep4
SRR5192454,Soil DNA-incubated soil-rainfed-rep1
SRR5192455,Soil DNA-incubated soil-rainfed-rep2
SRR5192456,Soil DNA-incubated soil-rainfed-rep3
SRR5192458,Soil DNA-incubated soil-rainfed-rep4
SRR5192463,Soil DNA-reincubated soil-rainfed-rep1
SRR5192464,Soil DNA-reincubated soil-rainfed-rep2
SRR5192465,Soil DNA-reincubated soil-rainfed-rep3
SRR5192470,Soil DNA-reincubated soil-rainfed-rep4
SRR5192480,Soil RNA-dried soil-rainfed-rep1
SRR5192482,Soil RNA-dried soil-rainfed-rep2
SRR5192484,Soil RNA-dried soil-rainfed-rep3
SRR5192486,Soil RNA-dried soil-rainfed-rep4
SRR5192471,Soil RNA-fresh soil-rainfed-rep1
SRR5192472,Soil RNA-fresh soil-rainfed-rep2
SRR5192473,Soil RNA-fresh soil-rainfed-rep3
SRR5192474,Soil RNA-fresh soil-rainfed-rep4
SRR5192475,Soil RNA-incubated soil-rainfed-rep1
SRR5192476,Soil RNA-incubated soil-rainfed-rep2
SRR5192478,Soil RNA-incubated soil-rainfed-rep3
SRR5192479,Soil RNA-incubated soil-rainfed-rep4
SRR5192488,Soil RNA-reincubated soil-rainfed-rep1
SRR5192491,Soil RNA-reincubated soil-rainfed-rep2
SRR5192492,Soil RNA-reincubated soil-rainfed-rep3
SRR5192498,Soil RNA-reincubated soil-rainfed-rep4
